"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2021-01-01 11:37:48.260000+00:00","2021-01-01 11:52:23.959000+00:00","875","1039","Lothian Road","Outside the Usher Hall","55.947409199207115","-3.2057654971365537","1730","East London Street","Outside St Mary's Primary School","55.95995414501485","-3.1871977585476543"
"2021-01-01 11:57:18.382000+00:00","2021-01-01 12:59:53.455000+00:00","3755","2259","Leith Walk North","Next to Allander House","55.96791807044289","-3.1735862970647304","1824","Duke Street","Junction with Easter Road","55.96901164826488","-3.16739470303429"
"2021-01-01 12:03:26.218000+00:00","2021-01-01 12:51:35.436000+00:00","2889","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 12:04:16.233000+00:00","2021-01-01 12:51:26.203000+00:00","2829","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 12:24:33.017000+00:00","2021-01-01 12:47:26.881000+00:00","1373","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","1824","Duke Street","Junction with Easter Road","55.96901164826488","-3.16739470303429"
"2021-01-01 12:30:07.483000+00:00","2021-01-01 12:41:39.051000+00:00","691","1767","Bruntsfield Links","Corner of Bruntsfield Links next to Public Toilets","55.937123239991095","-3.206431879393449","2268","Picardy Place","Outside Omni Centre","55.95653524179326","-3.1862476120746805"
"2021-01-01 12:32:33.500000+00:00","2021-01-01 13:29:11.763000+00:00","3398","1763","Comely Bank Road","Outside Raeburn Place Sports Ground","55.95941012836135","-3.2156613606136943","1763","Comely Bank Road","Outside Raeburn Place Sports Ground","55.95941012836135","-3.2156613606136943"
"2021-01-01 12:34:07.158000+00:00","2021-01-01 12:54:48.313000+00:00","1241","2259","Leith Walk North","Next to Allander House","55.96791807044289","-3.1735862970647304","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005"
"2021-01-01 12:37:57.439000+00:00","2021-01-01 14:59:58.291000+00:00","8520","1730","East London Street","Outside St Mary's Primary School","55.95995414501485","-3.1871977585476543","1050","EICC","Outside Edinburgh International Conference Centre","55.94607055533778","-3.2103963310007657"
"2021-01-01 12:42:55.455000+00:00","2021-01-01 13:12:30.834000+00:00","1775","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
